"","lon","lat","sub_area","OKRUGS"
"88",37.5975624086846,55.6763274138575,"Kotlovka","South-Western"
"89",37.6185024452222,55.8292231227323,"Ostankinskoe","North-Eastern"
"90",37.6066277595846,55.7037763265361,"Donskoe","Southern"
"91",37.607984657448,55.8949859327555,"Bibirevo","North-Eastern"
"92",37.6376288288917,55.5869174172456,"Birjulevo Zapadnoe","Southern"
"93",37.6115448221782,55.7971767132068,"Mar'ina Roshha","North-Eastern"
"94",37.6155537248814,55.6644994285551,"Nagornoe","Southern"
"95",37.647763929138,55.8518576858617,"Sviblovo","North-Eastern"
"96",37.6428362518376,55.7064515263446,"Danilovskoe","Southern"
"97",37.6287782306978,55.7800387826636,"Meshhanskoe","Central"
"98",37.6346439593282,55.8749515773318,"Juzhnoe Medvedkovo","North-Eastern"
"99",37.6337544740626,55.7335870234102,"Zamoskvorech'e","Central"
"100",37.6549986291445,55.8882179547571,"Severnoe Medvedkovo","North-Eastern"
"101",37.6421920214134,55.6720354781192,"Nagatino-Sadovniki","Southern"
"102",37.6696923385729,55.6431308053752,"Moskvorech'e-Saburovo","Southern"
"103",37.6527825911411,55.6273862309377,"Caricyno","Southern"
"104",37.6708468874048,55.7666783864012,"Basmannoe","Central"
"105",37.6545885984388,55.7779249869345,"Krasnosel'skoe","Central"
"106",37.65320740689,55.8360466606162,"Rostokino","North-Eastern"
"107",37.6668133684578,55.7407843401723,"Taganskoe","Central"
"108",37.6502408047617,55.8122784169026,"Alekseevskoe","North-Eastern"
"109",37.6778698845918,55.8000594788894,"Sokol'niki","Eastern"
"110",37.6788626853031,55.594594260685,"Birjulevo Vostochnoe","Southern"
"111",37.6654463638461,55.8676246288569,"Babushkinskoe","North-Eastern"
"112",37.6768449692022,55.7146827508246,"Juzhnoportovoe","South-Eastern"
"113",37.700090139366,55.8608308282778,"Jaroslavskoe","North-Eastern"
"114",37.7053193953966,55.684674864926,"Pechatniki","South-Eastern"
"115",37.7037302380167,55.8192985926922,"Bogorodskoe","Eastern"
"116",37.7385020299142,55.8428561313817,"Metrogorodok","Eastern"
"117",37.7048538984792,55.7536632787547,"Lefortovo","South-Eastern"
"118",37.7027666391875,55.6200212637699,"Orehovo-Borisovo Severnoe","Southern"
"119",37.694034779564,55.8811639232242,"Losinoostrovskoe","North-Eastern"
"120",37.722620332074,55.7318451928188,"Nizhegorodskoe","South-Eastern"
"121",37.7676081984149,55.7520553154156,"Perovo","Eastern"
"122",37.7330504012222,55.604342409664,"Orehovo-Borisovo Juzhnoe","Southern"
"123",37.7445570678124,55.6525245075381,"Mar'ino","South-Eastern"
"124",37.815202078079,55.7306827763924,"Veshnjaki","Eastern"
"125",37.7224480742169,55.7973142569632,"Preobrazhenskoe","Eastern"
"126",37.7306666197081,55.7727937706269,"Sokolinaja Gora","Eastern"
"127",37.7790078656951,55.6720287470321,"Ljublino","South-Eastern"
"128",37.7381903741735,55.7072028333195,"Tekstil'shhiki","South-Eastern"
"129",37.7650547837011,55.633379385807,"Brateevo","Southern"
"130",37.7461774214142,55.6204153103282,"Zjablikovo","Southern"
"131",37.7703400823562,55.7205093105839,"Rjazanskij","South-Eastern"
"132",37.7727846246175,55.7837864388592,"Izmajlovo","Eastern"
"133",37.8040966915765,55.7480436368259,"Novogireevo","Eastern"
"134",37.7738085354141,55.6987686932837,"Kuz'minki","South-Eastern"
"135",37.7962257886994,55.824293817439,"Gol'janovo","Eastern"
"136",37.8053812239385,55.806846831227,"Severnoe Izmajlovo","Eastern"
"137",37.8056100636924,55.6447776686392,"Kapotnja","South-Eastern"
"138",37.8244971841848,55.6962706472565,"Vyhino-Zhulebino","South-Eastern"
"139",37.8694379045627,55.8143679034854,"Vostochnoe","Eastern"
"140",37.8223983146237,55.7956427050126,"Vostochnoe Izmajlovo","Eastern"
"141",37.8240319269777,55.7713255593806,"Ivanovskoe","Eastern"
"142",37.883447806807,55.7161980878396,"Kosino-Uhtomskoe","Eastern"
"143",37.8618417885396,55.7400690957246,"Novokosino","Eastern"
"144",37.9397087410417,55.6959991452432,"Nekrasovka","South-Eastern"
"145",37.0112948935192,55.7318983652257,"Kuncevo","Western"
